Randomized Student ID,Start Term,Enrollment Type,Pell,First Gen,Legal Sex,Student of Color?,Retention,Weighted HS GPA,LC GPA,Major Division,AcademicMotivation_Indicator,Grit_Indicator,Worries_Indicator,AcMo_WorkHardLearn,AcMo_TestSuccessPrep,AcMo_HSReadAboveReq,AcMo_TalkTchOutClass,AcMo_GoodGradesImp,AcMo_ChallengeMaterial,AcMo_ImpAcademicExp,AcMo_EnjoyAcademicExp,Conf_AttendInst,Conf_KnowMajor,Grit_IgnoreSetbacks,Grit_HardWork,Grit_FinishThings,Grit_Diligent,Grit_OvercomeSetbacks,CollGoals_MeaningfulCareer,CollGoals_LearnPrepForLife,CollGoals_IntPersChallenges,CollGoals_Friendships,CollGoals_DoWithLife,CollGoals_FinSuppSelf,CollGoals_GoodLifeFamily,CollGoals_FamilyProud,CollGoals_GiveBack,CollGoals_GradSchool,CollGoals_PositiveImpact,CollGoals_Other,CollGoals_Other_TEXT,CollGoals_total,Worries_DoWellAcad,Worries_MakeFriends,Worries_PayBills,Worries_MeetingExpect,Worries_BalancingResp,Worries_MentalHealth,Worries_FigureOutLife,Worries_Societalssues,Worries_EnoughFood,Worries_PlaceToSleep,Hours_PrepForClass,Hours_Extracurriculars,Hours_Working,SuccessfulLife_TEXT,SupportYou_TEXT
0006473470,23/FA,"First-Time, First-Year",Not Pell,First Gen,Female,Student of Color,-,4.10,4.00,Social Sciences,3.63,3.80,2.80,4,4,2,2,5,4,5,3,4,4,3,5,3,4,4,1,1,1,1,0,1,0,1,1,0,1,0,,1,4,4,2,4,4,3,2,3,1,1,4,3,3,"I've gone on to Graduate school to become a physician assistant, I work in a hospital with a team of healthcare workers and love what I do. I live with my husband and maybe a few kids, along with some dogs as well. We live in a big house but not too big, with some land near the water. It's peaceful and lovely and I wake up each day happy.","Make sure I can get to the first step that is making it to Physician Assistant School and setting me up for success in the program. Give me advice on study habits and courses to take, check up on me in my classes to hold me accountable."
0044478580,21/FA,"First-Time, First-Year",Pell,Not 1st Gen,Female,Student of Color,Retained,4.04,3.67,Math and Natural Sciences,3.875,4.8,3,4,4,3,5,5,3,4,3,4,4,5,5,5,5,4,1,1,1,1,1,1,1,1,1,0,1,0,,1,4,2,4,2,4,3,4,4,2,1,5,7,3,I believe my success in life will be measured by the amount of people I influence in a positive way. I’d hope to be doing conservation work back in Hawaii and I if possible I would love to invent something for the conservation field. I would also have a native garden and be selling plants to local non-profits (and maybe even at supermarkets). I plan to be married to my awesome boyfriend Joshua and live a God-centered life.,My biggest worry is that I will be set back by my financial burdens or my lack of life skills. I hope that LC faculty could help me to teach me life skills that high school did not and help me to be a more well rounded person.
0056022348,22/FA,"First-Time, First-Year",Not Pell,First Gen,Female,Non-Student of Color,Retained,4.14,3.81,Undecided,4.38,4,2.6,5,4,3,5,5,4,5,4,4,2,3,4,4,4,5,0,0,1,0,1,0,0,0,1,0,1,0,,1,3,3,3,2,4,2,3,4,1,1,2,3,2,"A successful life is a life where I am surrounded by support and feel connected to something bigger than myself. This means being in good terms with my family, knowing and involving myself with my community, and at the end of the day being confident in who I am so I can do those things. Beyond those altruistic feelings of success, I hope to be able to live comfortably and sustainably. I don't want to be rich, but I do hope to be able to not have to worry about money all the time and have the freedom to do fun things. I want a job where I am making a difference and contributing to something bigger than myself. I want to feel useful and busy.",I think just being given the opportunity to explore who I am and what my role in the world is will be the biggest help. Building my own confidence in what I believe in and having the education to back that up will give me a backbone that allows me to create my version of success.
0068314616,23/FA,"First-Time, First-Year",Not Pell,First Gen,Female,Non-Student of Color,-,4.43,3.93,Undecided,4.13,4.20,4.00,5,3,4,5,5,3,5,3,2,4,3,5,5,3,5,1,1,1,1,1,1,1,1,1,1,1,0,,1,4,4,4,4,4,4,4,4,4,4,5,3,5,I am a child psychologist with with two adopted kids and a partner,Be nice
0074676060,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,Retained,4.04,3.62,Social Sciences,3.25,4,2.7,2,4,2,2,4,5,4,3,3,4,5,4,3,3,5,1,1,1,1,0,1,1,1,1,1,1,0,,1,3,3,2,2,3,4,3,4,2,1,4,2,2,"I imagine success as living a happy life that affects others positively. If you can find where what you love and what the world needs intersects, you have achieved success.","reasonable assignments and deadlines, socratic seminars and one on one conversations with students to better writing and other academic areas"
0075225235,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.25,3.82,Math and Natural Sciences,4.38,4.8,3,4,4,4,5,5,5,4,4,3,1,4,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,0,,1,4,4,2,4,4,3,4,3,1,1,3,3,1,"I want an intense career. As of right now, I want to be a pediatric surgeon. I want to be busy and well respected within my field. I’d like to live on the West Coast.","I want to figure out counseling at L&C, because I probably need it. I need to take advantage of advising, from the pre-med advisor to my own academic advisor. Professors that communicate expectations fully would be very helpful. I think my high school didn’t prepare me for college very well, so easing into things in classes would be nice. I’ll need some visits to the library for this reason."
0079668737,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Student of Color,Retained,3.86,2.63,Undecided,3.38,3.6,2.9,4,4,3,1,5,4,2,4,2,3,3,4,4,3,4,0,1,0,0,0,1,0,0,0,1,0,0,,1,3,3,4,3,2,4,3,3,2,2,5,2,4,,
0080510402,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Not Retained,4.27,2.88,No Longer Enrolled at Institution,3.75,2.8,2.9,4,5,2,5,4,4,3,3,4,1,2,3,3,1,5,1,1,1,1,0,1,0,1,0,0,1,0,,1,3,4,4,3,3,4,3,3,1,1,5,4,3,,
0084748558,21/FA,"First-Time, First-Year",Pell,Not 1st Gen,Female,Student of Color,Retained,4.09,3.99,Social Sciences,3.5,2.8,2.8,4,3,2,4,5,3,4,3,3,1,2,4,2,3,3,1,1,1,1,1,1,0,0,0,0,0,0,,1,3,4,2,3,3,4,4,3,1,1,5,2,3,Well paying job that I enjoy with a good community of friends and family.,Be understanding and accessible for any help I may need.
0114017700,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,4.16,3.30,Math and Natural Sciences,3.125,3,3.1,4,2,1,4,5,3,3,3,2,3,3,3,3,3,3,1,0,1,0,1,1,1,0,1,1,1,0,,1,3,3,4,3,3,3,3,3,3,3,5,6,1,,
0118012835,22/FA,"First-Time, First-Year",Pell,First Gen,Female,Student of Color,Retained,4.11,3.34,Social Sciences,3.5,3.2,3.1,3,3,2,5,5,4,4,2,4,4,2,4,3,2,5,1,0,0,1,0,1,0,1,1,1,1,0,,1,4,4,4,4,4,4,2,3,1,1,5,2,1,I am a successful lawyer who has a nice cozy home.,Keep an open door.
0121928288,23/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,-,3.19,4.00,Undecided,3.88,3.60,2.80,5,3,3,3,4,5,5,3,4,3,3,5,4,3,3,0,1,1,1,0,0,0,1,1,0,1,0,,1,4,4,1,3,3,4,3,4,1,1,5,2,1,"I'd love to be able to work in urban planning for large American city. I like to look at the world around me and see what can be improved, changed, or removed entirely. I want to be able to change the world around me for the better.","I think all I ask is understanding. When I misstep, to see it not as a personal failing, but as a bump on a longer road to success."
0128437978,23/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,International,-,4.20,3.32,Undecided,3.50,4.60,2.50,4,3,4,2,5,5,3,2,4,4,4,4,5,5,5,1,1,1,1,0,0,0,1,1,1,1,0,,1,4,2,2,3,4,4,2,2,1,1,4,3,3,"I am the founder of a technology company that is aiming to better the lives of the underprivileged by providing useful, affordable tech, and also being engaged in political issues of communities around me.",Provide guidance and support for me to achieve my goal of becoming an engineer.
0132256918,22/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,3.80,3.34,Undecided,4.63,4.6,3.3,5,5,5,5,4,5,4,4,4,1,5,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,0,,1,4,4,4,3,4,3,4,4,1,2,3,3,2,"I am rich and I am doing a job I am excited about, that I love to come to everyday, living somewhere that I love with a lot of friends, and I am making an impact",Teach me how to do what I really want to do
0163082116,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Male,Non-Student of Color,Retained,3.46,3.65,Math and Natural Sciences,2.5,3,2,3,3,2,4,2,2,2,2,3,1,3,4,2,3,3,1,1,0,1,1,1,0,0,0,0,0,0,,1,3,1,1,2,3,1,4,3,1,1,7,2,1,I am doing something I enjoy that is creative and am making enough money to live a fun and comfortable life,Help me to not fall behind on work
0170503592,22/FA,New Transfer,Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,-,3.86,Social Sciences,3.13,3.8,2.5,3,4,2,2,4,4,3,3,4,4,3,5,4,3,4,1,1,1,1,0,1,0,1,1,1,0,0,,1,2,3,2,3,3,4,2,4,1,1,5,5,2,"At this moment, when I imagine a successful life, I picture community, personal health and well-being, and a career or motive to make me excited to go to work every day. To specify, I believe a circle of close friends, family, and a potential partner would be immensely supportive in creating a successful life. In addition, I picture a successful life as a healthy one, or one in which I feel confident and active. Finally, I'd want a career or job that makes me excited to get up in the morning. I firmly believe in being passionate about your job or finding a job that feels satisfying after you go home every day. Furthermore, I picture myself living in a big city (maybe BC, London, or Sydney), in a lovely apartment, with a potential dog by my side.","Coming from a much larger university, I think any and all personal advice or reminders that the faculty is there to help is immensely appreciated. So far, I feel very supported at LC (and I haven't even gotten on campus)."
0171634687,23/FA,New Transfer,Not Pell,Not 1st Gen,Female,Non-Student of Color,-,-,4.00,Undecided,3.88,4.60,2.50,4,4,4,4,5,4,3,3,4,2,4,5,5,4,5,0,0,0,1,0,0,0,0,1,0,1,0,,1,2,2,2,2,3,4,4,3,2,1,4,2,4,,
0179540600,21/FA,"First-Time, First-Year",Not Pell,Not 1st Gen,Female,Non-Student of Color,Retained,3.81,3.73,Arts and Humanities,4.25,4.4,2.7,5,5,4,4,4,4,4,4,3,3,4,5,5,4,4,1,1,1,1,1,1,1,1,1,0,1,0,,1,3,3,3,2,3,4,3,3,2,1,4,3,2,"In an ideal world I will be living abroad, and working in an artistic career, and will have good friends and a beautiful home in a place I love.","Provide me with a healthy amount of educational material, that doesn’t hinder my ability to maintain my mental health, and my extracurricular activities."
0181007339,22/FA,New Transfer,Not Pell,Not 1st Gen,Male,Non-Student of Color,Retained,-,3.27,Social Sciences,3.5,3.8,2.7,4,3,3,4,4,4,3,3,3,2,4,3,4,4,4,1,1,1,0,1,1,0,0,0,0,1,0,,1,3,2,3,2,3,3,4,2,3,2,4,2,4,Doing enough and being busy enough to support myself while being content. Maybe a family and some friends and hobbies,Do what they are paid to do and be underdtsnding and useful
